"name","county","Data"
"McDonald, Jim (Performer)","near Livingston","Black"
"Horne, Frances (Performer)","near Livingston","Black"
"Horne, Caroline, Aunt (Performer)","near Livingston","Black"
"Horne, Jim Henry ""Duck"" (Performer)","near Livingston","Black"
"Horne, Aurilla (Performer)","near Livingston","Black"
"Powell, Abraham (Performer)","near Varner","Black, Convict"
"Washington, Willie Henry (Performer)","near Varner","Black, Convict"
"Robertson, Robert Lee (Performer)","near Varner","Black, Convict"
"McKain, Henry (Performer)","near Varner","Black, Convict"
"Green, Joe (Performer)","near Varner","Black, Convict"
"Jones, George (Performer)","near Varner","Black, Convict"
"Story, C. A. (Performer)","near Varner","Black, Convict"
"Denny, John (Performer)","near Varner","Black, Convict"
"Battle, Joe (Performer)","near Varner","Black, Convict"
"Johnson, Willie ""Little Life"" (Performer)","near Varner","Black, Convict"
"Williams, Willie ""Red Eye"" (Performer)","near Varner","Black, Convict"
"Lowry, Irvin ""Gar Mouth"" (Performer)","near Varner","Black, Convict"
"Lamb, Virgil (Performer)","near Varner","Black, Convict"
"Unidentified performers (Performer)","near Varner","Black, Convict"
"Hawkins, Nathaniel, Rev. (Performer)","near Varner","Black, Convict"
"Bell, Arthur (Performer)","near Varner","Black, Convict"
"Green, Clarence ""Bill Ted"" (Performer)","near Varner","Black, Convict"
"Jones, Walter J. R. ""Snow"" (Performer)","near Varner","Black, Convict"
"Anderson, Frances (Performer)","near Varner","Black, Convict"
"Hains, R. C. ""Red"" (Performer)","near Varner","Black, Convict"
"Thomas, Charles ""Texas"" (Performer)","near Varner","Black, Convict"
"Smith, James ""Studdy Long"" (Performer)","near Varner","Black, Convict"
"Martin, Leroy (Performer)","near Varner","Black, Convict"
"Williams, Angie May (Performer)","near Varner","Black, Convict"
"Marshall, Lilly May (Performer)","near Varner","Black, Convict"
"Rayford, Willie (Performer)","near Varner","Black, Convict"
"Outlaw, Willie (Performer)","near Varner","Black, Convict"
"Haynes, Bernice (Performer)","near Varner","Black, Convict"
"Stegall, Lonnie ""Stick Horse"" (Performer)","near Varner","Black, Convict"
"Howard, Father (Performer)","near Varner","Black, Convict"
"Shelton, Eugene (Performer)","near Varner","Black, Convict"
"Brown, Frank (Performer)","near Varner","Black, Convict"
"Williams, Chester (Performer)","near Varner","Black, Convict"
"Jubilee Quartet (Arkansas) (Performer)","near Varner","Black, Convict"
"Hudson, Roosevelt ""Giant"" (Performer)","near Varner","Black, Convict"
"Unidentified performers (Performer)","near Arkansas City","Black, Convict"
"Wesley, Henry (Performer)","near Arkansas City","Black, Convict"
"Clark, Charles (Performer)","near Arkansas City","Black, Convict"
"Wilson, Robert ""Rail Head"" (Performer)","near Arkansas City","Black, Convict"
"Grigsby, Lewis ""Wild Man"" (Performer)","near Arkansas City","Black, Convict"
"Cheatem (Performer)","near Arkansas City","Black, Convict"
"Valentine, Alf ""Dad"" (Performer)","near Arkansas City","Black, Convict"
"Monroe, Thomas ""Rooster"" (Performer)","near Arkansas City","Black, Convict"
"Hamilton, Alfred (Performer)","near Arkansas City","Black, Convict"
"Buggs, Ernest (Performer)","near Arkansas City","Black, Convict"
"Smith, Hosea ""Blue"" (Performer)","near Arkansas City","Black, Convict"
"Floyd, Minnie (Performer)","Murrells Inlet",""
"Brown, Viola (Performer)","Murrells Inlet","Black"
"Holmes, Annie (Performer)","Murrells Inlet","Black"
"Sindab, Anna Bella Corin (Performer)","Murrells Inlet","Children"
"Brown, Otto Washington (Performer)","Murrells Inlet","Children"
"Brown, Constance (Performer)","Murrells Inlet","Children"
"Walker, Brady (Performer)","Clemson",""
"Grant, William (Performer)","Clemson",""
"Lee, Mary (Performer)","Clemson",""
"Trimmer, Thomas (Performer)","Clemson",""
"Butler, Phil (Performer)","Clemson",""
"Owens, Cecil (Performer)","Clemson","Black"
"Owens, Martha (Performer)","Clemson","Black"
"Owens, Robert (Performer)","Clemson","Black"
"Owens Quartet (Performer)","Clemson","Black"
"Owens, Edward (Performer)","Clemson","Black"
"Unidentified performers (Performer)","near Anderson","Black, Convict"
"Smith, Carol (Performer)","near Anderson","Black, Convict"
"Unidentified singers (Performer)","near Clemson","Black"
"Coson, Anna F. (Performer)","near Clemson","Black"
"Lee, Mary (Performer)","near Clemson","Black"
"Holmes, Judie (Performer)","near Clemson","Black"
"Coson, Frances (Performer)","near Clemson","Black"
"Pearson, Ed (Performer)","near Clemson","Black"
"McDonald, Eula C. (Performer)","near Clemson","Black"
"Williams, Harvey, Deacon (Performer)","near Clemson","Black"
"Pearson, Polly (Performer)","near Clemson","Black"
"English, Mandie (Performer)","near Clemson","Black"
"Unidentified performers (Performer)","near Sand Springs",""
"Owens, ""Slick"" (Performer)","near Sand Springs","Black, Convict"
"Chambers, Clarence (Performer)","Anderson Co. Camp","Black, Convict"
"Gipson, John R., Mrs. (Performer)","Merryville","Black"
"Gipson, John R. ""Blind Gipson"" (Performer)","Merryville","Black"
"Weaver, Herman R. (Performer)","Merryville",""
"Fisher, Wilford Jerome (Performer)","Merryville",""
"Farr, Ruthie May (Performer)","Merryville","Black"
"Unidentified girls (Performer)","Merryville",""
"Gipson family (Performer)","Merryville","Black"
"Lee, Will ""John Baptist"" (Performer)","Merryville",""
"Whitman, Sarah C. (Performer)","Merryville",""
"Fisher, Geraldine (Performer)","Merryville",""
"Bennet, Gentry Young (Performer)","Merryville",""
"Franks, Dora (Performer)","Merryville",""
"Unidentified singers (Performer)","Knight Post Office",""
"Spearman, Rufus (Performer)","Knight Post Office",""
"Bright, Lula (Performer)","Knight Post Office",""
"Hickman, Ethel (Performer)","Knight Post Office",""
"Hickman, Ruth (Performer)","Knight Post Office",""
"Bright, Carmen (Performer)","Knight Post Office",""
"Johnson, Sylvester ""Deacon"" (Performer)","Knight Post Office",""
"Weaver, Herman R. (Performer)","Knight Post Office",""
"Hickman, Charlie (Performer)","Knight Post Office",""
"Hickman, Sam (Performer)","Knight Post Office",""
"Flint, Buena (Performer)","Raiford","Black, Convict"
"Reed, Clifford (Performer)","Raiford","Black, Convict"
"Griffin, Julia (Performer)","Raiford","Black, Convict"
"Medlock, Johnny Mae (Performer)","Raiford","Black, Convict"
"Thomas, Lonnie (Performer)","Raiford","Black, Convict"
"Unidentified performers (Performer)","Raiford","Black, Convict"
"Slater, Gussie (Performer)","Raiford","Black, Convict"
"Reid, Allen (Performer)","Raiford","Black, Convict"
"Hutchins, Lillian (Performer)","Raiford","Black, Convict"
"Johnson, Dawson (Performer)","Raiford","Black, Convict"
"Johnson, Burruss (Performer)","Raiford","Black, Convict"
"Brown, Joe (Performer)","Raiford","Black, Convict"
"Howard, Willie (Performer)","Raiford","Black, Convict"
"Perkins, Paul (Performer)","Raiford","Black, Convict"
"Richardson, James (Performer)","Raiford","Black, Convict"
"Carver, Glenn (Performer)","Raiford","Black, Convict"
"Perry, Fred (Performer)","Raiford","Black, Convict"
"Brown, John (Performer)","Raiford","Black, Convict"
"Keel, Colon (Performer)","Raiford","Black, Convict"
"Hardwick, Lillie (Performer)","Raiford","Black, Convict"
"Monday, Ella (Performer)","Raiford","Black, Convict"
"Hunter, Mary (Performer)","Raiford","Black, Convict"
"McDonald, Geneva (Performer)","Raiford","Black, Convict"
"Unidentified performer (Performer)","Raiford","Black, Convict"
"Jackson, Corine (Performer)","Raiford","Black, Convict"
"Futch, Hasel (Performer)","Raiford","Black, Convict"
"Brown, Lois (Performer)","Raiford","Black, Convict"
"Sanford, Annabelle (Performer)","Raiford","Black, Convict"
"Hines, Ruth (Performer)","Raiford","Black, Convict"
"Hines, Hule ""Queen"" (Performer)","Raiford","Black, Convict"
"Griffin, G. A., Mrs. (Performer)","Newberry",""
"Hi-Neighbor Men's Quartet (Anderson, S.C.) (Performer)","Toccoa Falls",""
"Sentell, Jessie (Performer)","Toccoa Falls",""
"Timmins, Maggie (Performer)","Toccoa Falls",""
"Friddle, Jane A. (Performer)","Toccoa Falls",""
"Matthews, Nettie (Performer)","Toccoa Falls",""
"Carolina Ladies Quartet (Greenville, S.C.) (Performer)","Toccoa Falls",""
